,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TCP_STREAM - Gbps,,,,,,,,,,,,,,,,,,,,,,,,
,TCP STREAM - Baseline,,,,,,,,,,,,,,,,,,,,,,,
,Host network,,Cluster Network,,,,,,,,,,,,,,,,,,,,,
Message Size,Intra-cluster hostnet p2p,Inter-cluster hostnet p2p,Intra-cluster clusternet p2p,Intra-cluster clusternet p2s,,,,,,,,,,,,,,,,,,,,
64-1,0.81,0.80,0.73,0.72,,,,,,,,,,,,,,,,,,,,
64-2,1.66,1.61,1.49,1.38,,,,,,,,,,,,,,,,,,,,
64-4,1.85,1.82,1.67,1.65,,,,,,,,,,,,,,,,,,,,
1024-1,8.70,9.05,8.23,8.40,,,,,,,,,,,,,,,,,,,,
1024-2,19.98,20.35,15.72,15.03,,,,,,,,,,,,,,,,,,,,
1024-4,22.53,22.42,18.22,18.85,,,,,,,,,,,,,,,,,,,,
8192-1,22.55,22.44,14.99,14.93,,,,,,,,,,,,,,,,,,,,
8192-2,22.56,22.46,21.47,21.50,,,,,,,,,,,,,,,,,,,,
8192-4,22.59,22.47,20.98,21.27,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,TCP STREAM - Multi Cluster,,,,,,,,,,,,,,,,,,,,,,,
Message Size,Skupper,Submariner,Istio multicluster,,,,,,,,,,,,,,,,,,,,,
64-1,0.70,0.77,0.44,,,,,,,,,,,,,,,,,,,,,
64-2,1.11,1.53,1.01,,,,,,,,,,,,,,,,,,,,,
64-4,1.53,2.11,2.26,,,,,,,,,,,,,,,,,,,,,
1024-1,4.30,2.70,1.77,,,,,,,,,,,,,,,,,,,,,
1024-2,8.12,2.67,6.22,,,,,,,,,,,,,,,,,,,,,
1024-4,8.19,2.57,12.91,,,,,,,,,,,,,,,,,,,,,
8192-1,4.19,2.73,8.56,,,,,,,,,,,,,,,,,,,,,
8192-2,8.04,2.59,11.51,,,,,,,,,,,,,,,,,,,,,
8192-4,8.08,2.47,14.87,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Skupper,Submariner,Istio multicluster,,,,,,,,,,,,,,,,,,,,,
Cloud 50 idle,1.48,1.5,,,,,,,,,,,,,,,,,,,,,,
Cloud 51 idle,1.37,1.6,1.41,,,,,,,,,,,,,,,,,,,,,
,TCP STREAM - CPU Overhead,,,,,,,,,,,,,,,,,,,,,,,
Message Size,Skupper,Submariner,Istio multicluster,,,,,,,,,,,,,,,,,,,,,
64-1,5.18,2.44,4.25,,,,,,,,,,,,,,,,,,,,,
64-2,8.67,3.03,4.31,,,,,,,,,,,,,,,,,,,,,
64-4,10.90,3.98,5.21,,,,,,,,,,,,,,,,,,,,,
1024-1,4.92,2.23,2.79,,,,,,,,,,,,,,,,,,,,,
1024-2,8.94,2.59,4.47,,,,,,,,,,,,,,,,,,,,,
1024-4,9.20,2.66,6.46,,,,,,,,,,,,,,,,,,,,,
8192-1,4.90,2.22,3.57,,,,,,,,,,,,,,,,,,,,,
8192-2,8.81,2.48,4.51,,,,,,,,,,,,,,,,,,,,,
8192-4,9.25,2.56,6.04,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,TCP STREAM - CPU Overhead,,,,,,,,,,,,,,,,,,,,,,,
Message Size,Skupper,Submariner,Istio multicluster,,,,,,,,,,,,,,,,,,,,,
64-1,5.18,2.44,2.84,,,,,,,,,,,,,,,,,,,,,
1024-1,4.92,2.23,2.79,,,,,,,,,,,,,,,,,,,,,
8192-1,4.90,2.22,3.57,,,,,,,,,,,,,,,,,,,,,
64-2,8.67,3.03,4.31,,,,,,,,,,,,,,,,,,,,,
1024-2,8.94,2.59,4.47,,,,,,,,,,,,,,,,,,,,,
8192-2,8.81,2.48,4.51,,,,,,,,,,,,,,,,,,,,,
64-4,10.90,3.98,5.21,,,,,,,,,,,,,,,,,,,,,
1024-4,9.20,2.66,6.46,,,,,,,,,,,,,,,,,,,,,
8192-4,9.25,2.56,6.04,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Standard deviation,,,,,,,,,,,,,,,,,,,,,,,,
Message Size,Skupper,Submariner,Istio multicluster,,2.3,2.51,2.3,2.5,2.59,,,,,,,,,,,,,,,
64-1,0,0.01,0,,0.132476413,,,,,,,,,,,,,,,,,,,
64-2,0,0.02,0,,,,,,,,,,,,,,,,,,,,,
64-4,0,0.01,0,,,,,,,,,,,,,,,,,,,,,
1024-1,0,0.73,0,,,,,,,,,,,,,,,,,,,,,
1024-2,0,0.07,0,,,,,,,,,,,,,,,,,,,,,
1024-4,0,0.02,0,,,,,,,,,,,,,,,,,,,,,
8192-1,0,0.03,0,,,,,,,,,,,,Threads,Intra-cluster hostnet p2p,Inter-cluster hostnet p2p,Intra-cluster clusternet p2p,Intra-cluster clusternet p2s,,Message Size,Skupper,Submariner,Istio multicluster
8192-2,0,0.05,0,,,,,,,,,,,,64-1,92701,62948,36041,35415,,64-1,3885,8678,7707
8192-4,0,0.05,0,,,,,,,,,,,,1024-1,80249,55688,27724,29195,,1024-1,3633,8001,7606
,,,,,,,,,,,,,,,8192-1,55493,42073,19494,19263,,8192-1,2335,3881,5313
,,,,,,,,,,,,,,,64-2,182682,119112,69960,71427,,64-2,10171,18590,15909
ops/sec,,,,,,,,,,,,,,,1024-2,156438,107390,64962,60389,,1024-2,9508,16976,15202
,Baseline,,,,,,,,,,,,,,8192-2,107893,82311,42749,43851,,8192-2,6654,8237,11512
,Host network,,Cluster Network,,,,,,,,,,,,64-4,240276,193172,143746,143304,,64-4,21146,41951,33968
Threads,Intra-cluster hostnet p2p,Inter-cluster hostnet p2p,Intra-cluster clusternet p2p,Intra-cluster clusternet p2s,,,,,,,,,,,1024-4,215027,170070,132805,134546,,1024-4,19878,36291,32020
64-1,92701,62948,36041,35415,,,,,,,,,,,8192-4,154914,123524,88898,87742,,8192-4,13669,15489,23487
64-2,182682,119112,69960,71427,,,,,,,,,,,,,,,,,,,,
64-4,240276,193172,143746,143304,,,,,,,,,,,,,,,,,,,,
1024-1,80249,55688,27724,29195,,,,,,,,,,,,,,,,,,,,
1024-2,156438,107390,64962,60389,,,,,,,,,,,,,,,,,,,,
1024-4,215027,170070,132805,134546,,,,,,,,,,,,,,,,,,,,
8192-1,55493,42073,19494,19263,,,,,,,,,,,,,,,,,,,,
8192-2,107893,82311,42749,43851,,,,,,,,,,,,,,,,,,,,
8192-4,154914,123524,88898,87742,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ops/sec,TCP RR,,,,,,,,,,,,,,,,,,,,,,,
Message Size,Skupper,Submariner,Istio multicluster,,,,,,,,,,,,,,,,,,,,,
64-1,3885,8678,7707,,,,,,,,,,,,,,,,,,,,,
64-2,10171,18590,15909,,,,,,,,,,,,,,,,,,,,,
64-4,21146,41951,33968,,,,,,,,,,,,,,,,,,,,,
1024-1,3633,8001,7606,,,,,,,,,,,,,,,,,,,,,
1024-2,9508,16976,15202,,,,,,,,,,,,,,,,,,,,,
1024-4,19878,36291,32020,,,,,,,,,,,,,,,,,,,,,
8192-1,2335,3881,5313,,,,,,,,,,,,,,,,,,,,,
8192-2,6654,8237,11512,,,,,,,,,,,,,,,,,,,,,
8192-4,13669,15489,23487,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,0.1475574338,0.2927408966,0.2370328295,,,,,,,,,,,,,,,,,,,,,
,HTTP/1.1 Multi Cluster latency,,,,,,,,,,,,,,,,,,,,,,,
